Timestamp,UCASS1_counts,UCASS2_counts,UCASS6_counts,n_common_seconds
2026-07-10 07:00:00,2.0,28.0,11.0,300
2026-07-10 07:05:00,4.0,38.0,9.0,300
2026-07-10 07:10:00,8.0,66.0,18.0,300
2026-07-10 07:15:00,7.0,43.0,7.0,300
2026-07-10 07:45:00,4.0,35.0,11.0,300
2026-07-10 07:50:00,1.0,14.0,3.0,300
2026-07-10 07:55:00,1.0,11.0,2.0,300
2026-07-10 08:00:00,1.0,25.0,9.0,300
2026-07-10 08:05:00,3.0,49.0,16.0,300
2026-07-10 08:10:00,2.0,28.0,7.0,300
2026-07-10 08:15:00,1.0,12.0,3.0,300
2026-07-10 08:20:00,1.0,15.0,5.0,300
2026-07-10 08:25:00,1.0,8.0,0.0,300
2026-07-10 08:30:00,4.0,34.0,12.0,300
2026-07-10 08:35:00,4.0,18.0,5.0,300
2026-07-10 08:40:00,1.0,11.0,5.0,300
2026-07-10 08:45:00,1.0,13.0,5.0,300
2026-07-10 08:50:00,3.0,17.0,4.0,300
2026-07-10 08:55:00,7.0,51.0,8.0,300
2026-07-10 09:00:00,6.0,26.0,8.0,300
2026-07-10 09:05:00,6.0,23.0,12.0,300
2026-07-10 09:10:00,2.0,42.0,7.0,300
2026-07-10 09:15:00,4.0,38.0,4.0,300
2026-07-10 09:20:00,0.0,7.0,5.0,300
2026-07-10 09:25:00,2.0,17.0,4.0,300
2026-07-10 09:30:00,0.0,13.0,3.0,300
2026-07-10 09:35:00,3.0,17.0,2.0,300
2026-07-10 09:40:00,1.0,8.0,3.0,300
2026-07-10 09:45:00,0.0,17.0,6.0,300
2026-07-10 09:50:00,0.0,13.0,3.0,300
